SMILES,E1-CC2,E2-CC2,f1-CC2,f2-CC2,E1-PBE0,E2-PBE0,f1-PBE0,f2-PBE0,E1-PBE0,E2-PBE0,f1-PBE0,f2-PBE0,E1-CAM,E2-CAM,f1-CAM,f2-CAM
[H]N([H])C(=O)C#CC1([H])N([H])C1([H])[H],0.18922857,0.22551741,0.0005075,0.30074503,0.17826257,0.20224366,0.00037812,0.21982781,0.17826257,0.20224366,0.00037812,0.21982781,0.18456246,0.20854875,0.0002,0.2047
[H]N=C1OC([H])([H])OC([H])([H])C1=O,0.13552572,0.18895276,0.00018845,0.00476783,0.1298353,0.17142467,0.00017929,0.00334627,0.1298353,0.17142467,0.00017929,0.00334627,0.13329715,0.18147552,0.0001,0.003
[H]OC([H])([H])c1nc([H])oc1C([H])([H])[H],0.23185664,0.25548748,0.14457334,0.06389933,0.22630997,0.23845783,0.15579724,0.00465336,0.22630997,0.23845783,0.15579724,0.00465336,0.22229299,0.24366273,0.1609,0.0036
[H]ON=C1C([H])=C(C([H])([H])[H])C([H])([H])C1([H])[H],0.20086932,0.20504277,0.44566367,0.0035208,0.19252676,0.19430395,0.39003633,0.00309689,0.19252676,0.19430395,0.39003633,0.00309689,0.19826261,0.20805263,0.4726,0.0034
[H]c1nc2n([H])nnn2n1,0.20451572,0.23305657,0.04661176,0.00382941,0.20516122,0.22068393,0.03541558,0.0044028,0.20516122,0.22068393,0.03541558,0.0044028,0.21368263,0.23199482,0.0421,0.0119
[H]N1C([H])(C([H])([H])[H])C12C(=O)C([H])([H])C2([H])[H],0.1592213,0.218445,0.00016819,0.12982923,0.15450474,0.20547477,0.00023684,0.08419912,0.15450474,0.20547477,0.00023684,0.08419912,0.15603764,0.22138896,0.0001,0.1037
[H]C([H])([H])C([H])([H])C1([H])C(=O)C([H])([H])C1([H])C([H])([H])[H],0.1603797,0.2602848,0.00008957,0.03038236,0.15617373,0.25539611,0.00024736,0.00259831,0.15617373,0.25539611,0.00024736,0.00259831,0.15678365,0.26507656,0.0001,0.0014
[H]C([H])([H])C#CC([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],0.26897345,0.2792517,0.00011846,0.02230231,0.24301846,0.25296376,0.00018297,0.01416626,0.24301846,0.25296376,0.00018297,0.01416626,0.24086243,0.24949484,0.0001,0.0088
[H]OC([H])([H])C([H])(C#N)C#CC([H])([H])[H],0.26856394,0.27995928,0.00072893,0.00221368,0.23842298,0.24976689,0.00107773,0.00300139,0.23842298,0.24976689,0.00107773,0.00300139,0.23928221,0.24907958,0.0004,0.0008
[H]C#CC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.27224408,0.28376755,0.00002089,0.00280624,0.25161119,0.26225663,0.00000737,0.00287801,0.25161119,0.26225663,0.00000737,0.00287801,0.24457779,0.25367324,0,0.0024
[H]C([H])([H])C1([H])C([H])([H])OC12C([H])([H])OC2([H])[H],0.25376065,0.25851788,0.00018735,0.00108179,0.26993468,0.27390111,0.00068544,0.00437725,0.26993468,0.27390111,0.00068544,0.00437725,0.26090919,0.26749834,0.0001,0.0016
[H]c1nonc1C([H])([H])C([H])([H])C([H])([H])[H],0.22597564,0.2340272,0.0000288,0.07008841,0.21536964,0.24442734,0.00007541,0.06667961,0.21536964,0.24442734,0.00007541,0.06667961,0.21960662,0.24274032,0.0001,0.0875
[H]OC1([H])C([H])(C([H])=O)C2([H])C([H])([H])C12[H],0.15580686,0.22720685,0.00027251,0.00320494,0.15115082,0.19051155,0.0002818,0.00187356,0.15115082,0.19051155,0.0002818,0.00187356,0.15240313,0.21875036,0.0001,0.0025
[H]Oc1c([H])nc([H])n1C([H])([H])C([H])([H])[H],0.21064533,0.23018504,0.00077835,0.11809429,0.21540607,0.23334284,0.00192745,0.11692731,0.21540607,0.23334284,0.00192745,0.11692731,0.20169867,0.22836766,0.0008,0.129
[H]OC12C([H])([H])C([H])([H])OC1(C([H])([H])[H])C2([H])[H],0.24179898,0.26270014,0.0246159,0.00603135,0.25675865,0.27406128,0.02164865,0.00286445,0.25675865,0.27406128,0.02164865,0.00286445,0.25112284,0.26857877,0.0249,0.0024
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C12C([H])([H])C2([H])[H],0.25962283,0.29189466,0.01066898,0.03919939,0.27254578,0.29667461,0.01532066,0.0233661,0.27254578,0.29667461,0.01532066,0.0233661,0.2598508,0.29160957,0.0089,0.0334
[H]n1c(C([H])([H])[H])c(C([H])([H])[H])oc1=O,0.22077856,0.25443636,0.00059316,0.00011761,0.2313295,0.23300083,0.0024896,0.24354954,0.2313295,0.23300083,0.0024896,0.24354954,0.21774343,0.23496784,0.0007,0.2526
[H]C([H])([H])C1([H])C([H])([H])C1([H])C1([H])C([H])([H])OC1([H])[H],0.25746419,0.27259418,0.00009765,0.02268247,0.2765296,0.27896503,0.00192223,0.019746,0.2765296,0.27896503,0.00192223,0.019746,0.26356616,0.28123156,0.0004,0.0247
[H]C1=NC([H])(C([H])([H])C#N)C([H])([H])O1,0.24649977,0.25591538,0.0062345,0.14334014,0.23819999,0.2572644,0.00636044,0.14849819,0.23819999,0.2572644,0.00636044,0.14849819,0.23903599,0.2547794,0.0049,0.1443
[H]OC([H])([H])C1([H])OC(=O)C([H])([H])O1,0.22258225,0.26772522,0.00043549,0.05441364,0.21569239,0.2417491,0.00090607,0.03558881,0.21569239,0.2417491,0.00090607,0.03558881,0.21633225,0.26372418,0.0005,0.0398
[H]C#CC1(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])C([H])([H])[H],0.26399417,0.27514832,0.00013142,0.01551122,0.24400249,0.25469919,0.00008855,0.0093643,0.24400249,0.25469919,0.00008855,0.0093643,0.23813195,0.24738543,0.0001,0.008
[H]OC12C([H])([H])C3([H])OC1([H])C([H])([H])C32[H],0.24295849,0.26883774,0.00123024,0.00233282,0.26097828,0.28278697,0.00125852,0.0036342,0.26097828,0.28278697,0.00125852,0.0036342,0.24972637,0.28021728,0.0016,0.0042
[H]C([H])([H])C#CC1([H])C(=O)C([H])([H])C1([H])[H],0.16355757,0.24821697,0.00063857,0.02122454,0.15606127,0.20658045,0.00136715,0.00258198,0.15606127,0.20658045,0.00136715,0.00258198,0.15809927,0.22668454,0.0008,0.0015
[H]OC1([H])C2(C([H])([H])[H])OC([H])([H])C12O[H],0.21638908,0.24647575,0.00353094,0.00967567,0.22692389,0.25724945,0.00206982,0.00597698,0.22692389,0.25724945,0.00206982,0.00597698,0.22367109,0.24538627,0.0022,0.0067
[H]OC([H])([H])C([H])(C#N)C([H])([H])C#N,0.287721,0.30540777,0.00496363,0.0015053,0.27339897,0.27744585,0.00337514,0.00468119,0.27339897,0.27744585,0.00337514,0.00468119,0.27721486,0.27933162,0.0002,0.0001
[H]OC1([H])C([H])([H])C([H])(O[H])C1([H])O[H],0.26530566,0.2684405,0.01117054,0.01322747,0.26455838,0.27877471,0.01206319,0.00242527,0.26455838,0.27877471,0.01206319,0.00242527,0.26598794,0.26820393,0.0093,0.0092
[H]OC1([H])C([H])([H])C1(C([H])=O)C([H])([H])[H],0.16713476,0.25749067,0.00017612,0.12644693,0.16240918,0.23376326,0.00008664,0.02742975,0.16240918,0.23376326,0.00008664,0.02742975,0.16243202,0.24942502,0.0002,0.1185
[H]C([H])([H])C([H])([H])C#CC1([H])C([H])([H])C([H])([H])C1([H])[H],0.26004779,0.26910832,0.00029998,0.00593145,0.2365896,0.24580056,0.00008014,0.00294443,0.2365896,0.24580056,0.00008014,0.00294443,0.2345048,0.24245,0.0001,0.0026
[H]c1nc(C([H])([H])[H])c(C([H])([H])[H])o1,0.23198644,0.24671164,0.14665689,0.00381275,0.22873432,0.23827706,0.17030931,0.00383709,0.22873432,0.23827706,0.17030931,0.00383709,0.22385117,0.24237283,0.1723,0.0037
[H]N=C1OC([H])([H])C([H])(C([H])=O)O1,0.15835872,0.24451577,0.00004339,0.00327564,0.15210693,0.19575603,0.0000954,0.00146929,0.15210693,0.19575603,0.0000954,0.00146929,0.15322999,0.22967961,0,0.0021
[H]C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],0.32792023,0.33608966,0.00137326,0.00006591,0.33164086,0.33636347,0.00061363,0.00126005,0.33164086,0.33636347,0.00061363,0.00126005,0.32560637,0.33010449,0.0006,0.0006
[H]OC1([H])C2([H])OC1(C([H])([H])[H])C([H])([H])C2([H])[H],0.27176586,0.27706609,0.02026743,0.00970975,0.28695897,0.29197591,0.00761212,0.00658465,0.28695897,0.29197591,0.00761212,0.00658465,0.27765218,0.28880927,0.0091,0.0114
[H]C#CC(=O)C([H])(C([H])=O)C([H])([H])[H],0.14512091,0.15798942,0.00559633,0.0014461,0.13636459,0.14884014,0.00721346,0.00283892,0.13636459,0.14884014,0.00721346,0.00283892,0.14241099,0.15300582,0.0037,0.001
[H]c1oc(=NC([H])([H])[H])n([H])c1C([H])([H])[H],0.20805611,0.21621317,0.00030775,0.09220872,0.20603942,0.22179931,0.07430079,0.001565,0.20603942,0.22179931,0.07430079,0.001565,0.20771454,0.21339598,0.0004,0.102
[H]C(=O)C(C#N)(OC([H])([H])[H])C([H])([H])[H],0.16215113,0.24283978,0.00069525,0.00357447,0.15527564,0.20881348,0.001109,0.00199268,0.15527564,0.20881348,0.001109,0.00199268,0.15620301,0.2328768,0.0006,0.0024
[H]C([H])([H])OC([H])([H])C12OC([H])([H])C1([H])C2([H])[H],0.25354122,0.27124247,0.01147952,0.00364263,0.26291809,0.28218934,0.00625866,0.01323752,0.26291809,0.28218934,0.00625866,0.01323752,0.25957518,0.27708624,0.0105,0.0244
[H]C([H])([H])C([H])([H])C([H])([H])C#CC#N,0.21992507,0.22888432,0.00000456,0.00264478,0.18900598,0.19822427,0.00000733,0.00174282,0.18900598,0.19822427,0.00000733,0.00174282,0.18785888,0.1959033,0,0.0012
[H]OC([H])(C([H])=O)C([H])([H])C1([H])C([H])([H])C1([H])[H],0.17066369,0.23580511,0.00040639,0.05118831,0.16600253,0.20223475,0.00063469,0.03578797,0.16600253,0.20223475,0.00063469,0.03578797,0.16610695,0.2259275,0.0003,0.0425
[H]C1=C(C([H])([H])[H])C([H])([H])C2([H])OC1([H])C2([H])[H],0.20650645,0.24452637,0.00865667,0.17936331,0.20571507,0.23722587,0.00695002,0.19613895,0.20571507,0.23722587,0.00695002,0.19613895,0.21729141,0.23328472,0.031,0.1666
[H]OC([H])([H])c1onc(C([H])([H])[H])c1[H],0.24076421,0.2486181,0.12789075,0.00469805,0.2358071,0.24068121,0.08536648,0.10806325,0.2358071,0.24068121,0.08536648,0.10806325,0.2343872,0.2465843,0.1948,0.0038
[H]N1C([H])([H])C1(C#N)C#CC([H])([H])[H],0.23962221,0.25729775,0.0229613,0.09363777,0.21352679,0.23205239,0.01035526,0.04842718,0.21352679,0.23205239,0.01035526,0.04842718,0.21778753,0.23512218,0.0105,0.0272
[H]C#CC(=O)OC1([H])C([H])([H])C1([H])[H],0.19492751,0.24053881,0.00045153,0.05077462,0.18077254,0.21265636,0.00046998,0.01247363,0.18077254,0.21265636,0.00046998,0.01247363,0.18429419,0.21455726,0.0001,0.0018
[H]ON=C1C([H])([H])C2([H])C1([H])C2([H])C([H])([H])[H],0.22846061,0.242162,0.05874961,0.23573334,0.22045344,0.240084,0.02291071,0.22960924,0.22045344,0.240084,0.02291071,0.22960924,0.22549019,0.24235078,0.0387,0.2374
[H]c1nc2noc([H])c2o1,0.20246623,0.2293749,0.10587567,0.18825898,0.20056743,0.20332654,0.08192103,0.00002799,0.20056743,0.20332654,0.08192103,0.00002799,0.20300327,0.21209506,0.1008,0
[H]c1nn([H])c(=O)c(F)c1[H],0.17306626,0.21996556,0.0824942,0.09379914,0.16025124,0.17218554,0.00018566,0.07865111,0.16025124,0.17218554,0.00018566,0.07865111,0.17325469,0.17343477,0.0882,0.0012
[H]OC1([H])C([H])([H])C1([H])N([H])C(=O)C([H])([H])[H],0.2170388,0.25269014,0.00058162,0.10005382,0.21214383,0.25565598,0.00093091,0.1771567,0.21214383,0.25565598,0.00093091,0.1771567,0.21385167,0.25228412,0.0006,0.0486
[H]C(=O)C#CC([H])([H])C([H])([H])[H],0.14893573,0.205552,0.00023589,0.00010701,0.13958608,0.17506678,0.00018328,0.00003183,0.13958608,0.17506678,0.00018328,0.00003183,0.14463432,0.17649599,0.0003,0.0001
[H]ON=C(C([H])([H])[H])C1([H])C([H])([H])C1([H])C([H])([H])[H],0.23049578,0.24895729,0.00335654,0.23892921,0.22112787,0.24582979,0.00225402,0.20244957,0.22112787,0.24582979,0.00225402,0.20244957,0.2260157,0.24766105,0.0026,0.2118
[H]C([H])([H])C12C([H])([H])C([H])([H])C([H])(C([H])([H])C1([H])[H])C2([H])[H],0.30148012,0.31071471,0.00448337,0.02218766,0.30854506,0.31860257,0.00182516,0.01300697,0.30854506,0.31860257,0.00182516,0.01300697,0.30218235,0.31132191,0.0023,0.016
[H]c1c([H])n([H])c(=O)n1[H],0.21795951,0.25091785,0.00034585,0.00000002,0.22481728,0.22816476,0.00009186,0.11278104,0.22481728,0.22816476,0.00009186,0.11278104,0.21464178,0.22602673,0.0004,0.1266
[H]C1=C2C([H])([H])C([H])([H])C2([H])C(=O)C1([H])[H],0.16138217,0.21814486,0.00003452,0.00154304,0.15760717,0.19415282,0.00005821,0.00312613,0.15760717,0.19415282,0.00005821,0.00312613,0.15823157,0.20746097,0,0.003
[H]OC([H])(C(=O)OC([H])([H])[H])C([H])([H])C([H])([H])[H],0.23074455,0.27138637,0.00232465,0.04864335,0.2257281,0.23718707,0.00381628,0.03214854,0.2257281,0.23718707,0.00381628,0.03214854,0.22632807,0.26069236,0.0023,0.0425
[H]C1=C([H])C2([H])C(=O)C1([H])N2[H],0.20068837,0.20828152,0.00060934,0.01153475,0.19494456,0.20072612,0.00044968,0.00939521,0.19494456,0.20072612,0.00044968,0.00939521,0.19241947,0.20934621,0.0006,0.0223
[H]C([H])([H])OC([H])([H])C([H])([H])C1([H])OC1([H])C([H])([H])[H],0.27504904,0.29074643,0.03701184,0.05743886,0.29000948,0.30896623,0.05774549,0.02095333,0.29000948,0.30896623,0.05774549,0.02095333,0.27964767,0.30606308,0.0389,0.0415
[H]N1C([H])([H])C1(C([H])([H])[H])C([H])([H])OC([H])([H])[H],0.2730526,0.27410238,0.00510983,0.04982978,0.27212431,0.2897784,0.00631576,0.05527377,0.27212431,0.2897784,0.00631576,0.05527377,0.27288212,0.2789237,0.0173,0.0364
[H]ON=C1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0.22935186,0.24858477,0.00175801,0.27605873,0.22000086,0.24781202,0.00157077,0.25005263,0.22000086,0.24781202,0.00157077,0.25005263,0.22550856,0.24976312,0.0013,0.2742
[H]Oc1nc(N([H])C([H])([H])[H])c([H])n1[H],0.20375748,0.21451213,0.00165138,0.0038905,0.21171287,0.22109072,0.00023873,0.0064279,0.21171287,0.22109072,0.00023873,0.0064279,0.20126136,0.21210976,0.0015,0.0051
[H]C1=C(C([H])([H])[H])C([H])([H])OC1([H])OC([H])([H])[H],0.25013261,0.27098202,0.05792633,0.05623653,0.23726012,0.24599972,0.05304239,0.03983117,0.23726012,0.24599972,0.05304239,0.03983117,0.25344907,0.26787318,0.2242,0.1171
[H]C([H])([H])C12OC([H])([H])C3([H])OC1([H])C32[H],0.23287013,0.24551069,0.00643742,0.01182025,0.24695689,0.2604852,0.00550302,0.01748612,0.24695689,0.2604852,0.00550302,0.01748612,0.24341651,0.25842126,0.0055,0.0113
[H]c1noc(C([H])([H])[H])c([H])c1=O,0.19221775,0.21623025,0.18766451,0.13811547,0.13104224,0.17919242,0.0001318,0.00029501,0.13104224,0.17919242,0.0001318,0.00029501,0.14069847,0.19617525,0.0002,0.1672
[H]OC1([H])C([H])([H])C2([H])OC1(C([H])([H])[H])C2([H])[H],0.25893486,0.27183642,0.00661072,0.01492527,0.27369906,0.28598535,0.0044219,0.00787676,0.27369906,0.28598535,0.0044219,0.00787676,0.26354411,0.28343285,0.0021,0.0118
[H]C(=O)C([H])([H])c1c([H])nc([H])n1[H],0.16894382,0.21110174,0.00059575,0.01971726,0.15683429,0.16887292,0.01055653,0.00355407,0.15683429,0.16887292,0.01055653,0.00355407,0.16342792,0.18842114,0.0011,0.016
[H]OC1([H])C([H])(O[H])C12C([H])([H])OC2([H])[H],0.23000961,0.25328779,0.00248998,0.00057124,0.23636801,0.25586442,0.00151155,0.00333823,0.23636801,0.25586442,0.00151155,0.00333823,0.23098788,0.25688146,0.002,0.0028
[H]OC1(C([H])([H])[H])C([H])([H])C([H])=C(C([H])([H])[H])C1([H])[H],0.26372042,0.26621094,0.01495552,0.00721368,0.25749674,0.26317407,0.19716938,0.07837041,0.25749674,0.26317407,0.19716938,0.07837041,0.25358137,0.25671609,0.2558,0.035
[H]N1C([H])([H])C2([H])OC3([H])C([H])(O2)C13[H],0.21119409,0.249452,0.00246131,0.00027083,0.22176161,0.25518102,0.00219558,0.00756444,0.22176161,0.25518102,0.00219558,0.00756444,0.21418242,0.25501092,0.0019,0.0016
[H]N([H])C(=O)C(=O)C1([H])C([H])([H])C1([H])[H],0.13028973,0.20006839,0.00003477,0.00013851,0.12463744,0.19270981,0.000013,0.00046919,0.12463744,0.19270981,0.000013,0.00046919,0.13015876,0.19852353,0,0.0002
[H]C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H],0.16244929,0.27220656,0.00019919,0.03992257,0.15689752,0.23162559,0.00015731,0.00014917,0.15689752,0.23162559,0.00015731,0.00014917,0.15709234,0.27679592,0.0001,0.0401
[H]OC12C3([H])C([H])=C([H])C1([H])C2([H])C3([H])[H],0.22431652,0.24774667,0.066488,0.02249589,0.22150429,0.2422081,0.06590979,0.02613203,0.22150429,0.2422081,0.06590979,0.02613203,0.2190811,0.24849894,0.074,0.0241
[H]C([H])(C#N)C1([H])OC([H])([H])C([H])([H])O1,0.28208593,0.30200673,0.0174314,0.00998959,0.27654486,0.28235549,0.01510728,0.00448586,0.27654486,0.28235549,0.01510728,0.00448586,0.2793206,0.28474112,0.0018,0.0127
[H]C#CC(C#C[H])(C([H])([H])[H])C([H])([H])O[H],0.26750905,0.26774393,0.00195031,0.00018703,0.2418868,0.24582133,0.00187367,0.00142842,0.2418868,0.24582133,0.00187367,0.00142842,0.23898454,0.24125932,0.0013,0.0005
[H]OC([H])([H])C([H])(C([H])([H])[H])C(O[H])(C([H])([H])[H])C([H])([H])[H],0.26366386,0.26626476,0.00073666,0.01436567,0.27663544,0.27732859,0.00528317,0.00252353,0.27663544,0.27732859,0.00528317,0.00252353,0.26170297,0.26876987,0.0002,0.0091
[H]OC1([H])C(N([H])[H])=C([H])C(=O)C1([H])[H],0.15824696,0.20789768,0.00029349,0.50765005,0.15282194,0.21066822,0.00017068,0.39373855,0.15282194,0.21066822,0.00017068,0.39373855,0.16077462,0.20802691,0.0004,0.4215
[H]C(=Nc1oc([H])c([H])c1[H])N([H])[H],0.18380522,0.21590428,0.59722941,0.0006091,0.17803185,0.20613998,0.52288186,0.00037644,0.17803185,0.20613998,0.52288186,0.00037644,0.17580877,0.21042296,0.4998,0.0004
[H]C1([H])OC12C1([H])N3C([H])(C1([H])[H])C32[H],0.2561879,0.27546809,0.01753585,0.01139293,0.27427349,0.29152633,0.02562064,0.00799107,0.27427349,0.29152633,0.02562064,0.00799107,0.26643996,0.28656756,0.0215,0.0104
[H]N([H])C(=O)C([H])([H])C([H])(C#N)C([H])([H])[H],0.21686595,0.26493068,0.00048939,0.02585689,0.2144676,0.28085497,0.00097612,0.02432002,0.2144676,0.28085497,0.00097612,0.02432002,0.21379288,0.27529287,0.0005,0.0096
[H]N=C1OC2([H])C([H])([H])N([H])C12C([H])([H])[H],0.2325978,0.24705193,0.00332085,0.01080576,0.22095964,0.24539946,0.00272623,0.00970126,0.22095964,0.24539946,0.00272623,0.00970126,0.23030067,0.24413679,0.0018,0.011
[H]C1([H])C2([H])C([H])([H])C1([H])C1([H])OC12[H],0.27584322,0.28564843,0.02417708,0.010975,0.29280161,0.30345438,0.00477276,0.01723941,0.29280161,0.30345438,0.00477276,0.01723941,0.28927966,0.29388436,0.0125,0.0056
[H]C1=C2C([H])([H])C([H])(C([H])([H])[H])C2([H])C([H])([H])C1([H])[H],0.24215807,0.2610852,0.1962268,0.01675983,0.23414805,0.26811554,0.20206685,0.02155887,0.23414805,0.26811554,0.20206685,0.02155887,0.23133333,0.25734818,0.2071,0.0152
[H]C(=O)C([H])([H])C1([H])C(=O)OC1([H])[H],0.1596974,0.22413575,0.00016935,0.00083308,0.1541557,0.21627649,0.00013258,0.00133053,0.1541557,0.21627649,0.00013258,0.00133053,0.15446476,0.21684307,0.0001,0.0009
[H]C#CC([H])([H])N(C([H])([H])[H])C([H])([H])C([H])=O,0.16121546,0.20853286,0.00009739,0.00119109,0.15404891,0.17719519,0.00008952,0.00115446,0.15404891,0.17719519,0.00008952,0.00115446,0.15572159,0.19815971,0.0001,0.0012
[H]N(C(=O)C([H])([H])[H])C(=O)C([H])([H])N([H])[H],0.17865086,0.20825031,0.00090736,0.00000363,0.16824347,0.19917565,0.00101335,0.0000001,0.16824347,0.19917565,0.00101335,0.0000001,0.17388678,0.20232709,0.0009,0
[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.26718328,0.31622496,0.01651691,0.00164925,0.27940837,0.31638762,0.0087874,0.00283447,0.27940837,0.31638762,0.0087874,0.00283447,0.2682811,0.31543048,0.0118,0.0011
[H]C#CC(=O)C([H])(C#N)C([H])([H])[H],0.15329114,0.21735565,0.00023906,0.00012444,0.14443835,0.18686432,0.000184,0.00016203,0.14443835,0.18686432,0.000184,0.00016203,0.14890827,0.18854241,0.0002,0.0001
[H]C(=O)C12C([H])([H])OC1([H])C2([H])[H],0.16473921,0.21876719,0.00069441,0.09434469,0.159009,0.20624327,0.00043225,0.03790973,0.159009,0.20624327,0.00043225,0.03790973,0.16043653,0.22348367,0.0003,0.0779
[H]C#CC1([H])C(=O)C([H])(O[H])C1([H])[H],0.16346834,0.23656758,0.00144743,0.01152274,0.15603026,0.20617448,0.0020008,0.00475043,0.15603026,0.20617448,0.0020008,0.00475043,0.15832344,0.2261039,0.0015,0.0034
[H]N1C2([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])C12[H],0.15708034,0.22918476,0.00086714,0.01627696,0.15149439,0.21280935,0.00086558,0.01211808,0.15149439,0.21280935,0.00086558,0.01211808,0.15447579,0.22640157,0.0008,0.0177
[H]OC1([H])C2([H])C3([H])N(C([H])([H])[H])C2([H])C13[H],0.23543487,0.24196902,0.00663563,0.01343681,0.25069615,0.25455984,0.00646619,0.00494574,0.25069615,0.25455984,0.00646619,0.00494574,0.24439036,0.25213712,0.0039,0.0062
[H]OC([H])([H])C#CC([H])(O[H])C([H])=O,0.17310666,0.24479088,0.00191317,0.00088674,0.16585554,0.19705409,0.0048843,0.00249316,0.16585554,0.19705409,0.0048843,0.00249316,0.16713961,0.21584349,0.0023,0.0011
[H]c1nnc(C([H])([H])C([H])([H])[H])c([H])n1,0.11753549,0.14938563,0.00526717,0.00003335,0.11074503,0.14427206,0.00496952,0.00003058,0.11074503,0.14427206,0.00496952,0.00003058,0.12034669,0.15819482,0.0051,0
[H]C([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])[H])OC1([H])[H],0.28790834,0.28956225,0.00278915,0.00810087,0.30022025,0.30651135,0.00016922,0.0001769,0.30022025,0.30651135,0.00016922,0.0001769,0.29598274,0.30399409,0.0057,0.0001
[H]OC([H])([H])C([H])([H])C1([H])C2([H])OC1([H])C2([H])[H],0.25547999,0.26469653,0.00482036,0.00108026,0.2731381,0.28006126,0.00380253,0.00137774,0.2731381,0.28006126,0.00380253,0.00137774,0.26473479,0.27022146,0.0001,0.0017
[H]C1=NC([H])(C([H])([H])[H])C([H])(C([H])([H])C([H])([H])[H])O1,0.24364336,0.2497975,0.02045995,0.10032572,0.23644829,0.25304249,0.00839646,0.10710223,0.23644829,0.25304249,0.00839646,0.10710223,0.2369817,0.25011591,0.0077,0.1094
[H]C([H])([H])C([H])([H])C([H])(C#N)C([H])(C([H])([H])[H])C([H])([H])[H],0.31276088,0.3247109,0.0002857,0.00874153,0.28504214,0.29789773,0.00001571,0.01016713,0.28504214,0.29789773,0.00001571,0.01016713,0.28111764,0.29246583,0.0001,0.0074
[H]C([H])([H])C([H])([H])C1([H])OC1([H])[H],0.29577965,0.29959653,0.03209742,0.01138111,0.30543443,0.31735389,0.00491361,0.0244122,0.30543443,0.31735389,0.00491361,0.0244122,0.30135549,0.31149463,0.0056,0.0122
